,0,1,i,j,dist
109,1.0,8.684679630175178e-14,53,2,-185.16243720869738
110,1.0,1.831827224629823e-12,54,2,-294.7176300132677
111,1.0,5.33763930832265e-08,11,3,-1975.0346832397652
112,1.0,2.3807296412048373e-11,12,3,-1755.0002849002617
113,1.0,2.6320527354850576e-11,13,3,-1546.0795581081848
114,0.9999998807907104,9.716544724369669e-08,14,3,-1353.4289785577964
115,1.0,6.980640510079184e-10,15,3,-1185.0105484762573
116,1.0,2.2223623982742247e-11,16,3,-1035.469767455906
117,1.0,5.455136342646938e-12,17,3,-886.0845912946686
118,1.0,4.353866156492359e-10,18,3,-736.6994151334311
119,1.0,1.2806503253692814e-11,19,3,-587.3142389721935
120,1.0,3.0858775534881033e-09,20,3,-437.929062810956
121,0.9999939203262328,6.075802502891747e-06,21,3,-288.5438866497185
122,1.0,3.088108879722995e-09,22,3,-139.15871048848095
123,1.0,3.1866936867075424e-10,23,3,-62.42720245273132
124,1.0,1.5536561620566047e-11,24,3,4.177625055441887
125,0.9999998807907104,1.145148615933067e-07,25,3,70.7824525636151
126,0.9999946355819702,5.380813490774017e-06,26,3,137.3872800717883
127,0.9881494045257568,0.0118505349382758,27,3,203.9921075799615
128,0.9998268485069276,0.0001732267264742,28,3,270.5969350881347
129,0.9995368719100952,0.0004631668562069,29,3,337.2017625963079
130,0.9681814908981324,0.0318185277283191,30,3,403.80659010448113
131,0.99955016374588,0.0004498205089475,31,3,448.9716164312768
132,0.9999880790710448,1.1942445780732667e-05,32,3,492.9752596523325
133,0.9999890327453612,1.0988318535964936e-05,33,3,536.9789028733882
134,0.2031449079513549,0.796855092048645,34,3,580.9825460944439
135,0.0019819177687168,0.9980180263519288,35,3,624.9861893154996
136,0.0010063813533633,0.9989935755729676,36,3,668.9898325365552
137,4.629477189155296e-06,0.9999953508377076,37,3,712.993475757611
138,0.9109423756599426,0.089057557284832,38,3,756.9971189786667
139,0.9996572732925416,0.0003427715273573,39,3,801.0007621997223
140,0.9999091625213624,9.085160127142444e-05,40,3,832.4481789235258
141,0.9933645725250244,0.0066353920847177,41,3,797.5477399434146
142,0.9220669269561768,0.0779331028461456,42,3,762.6473009633035
143,0.9984795451164246,0.0015204375376924,43,3,727.7468619831924
144,0.9985463619232178,0.0014537113020196,44,3,692.8464230030812
145,0.9998537302017212,0.0001463014923501,45,3,657.9459840229702
146,0.9999985694885254,1.4532876093653613e-06,46,3,623.045545042859
147,0.9999613761901855,3.857094998238608e-05,47,3,588.1451060627478
148,0.9999949932098388,5.030427018937189e-06,48,3,553.2446670826366
149,0.9998358488082886,0.0001640668197069,49,3,484.4317545434763
150,1.0,5.723467033647012e-09,50,3,374.876561738906
151,1.0,3.8760926912573275e-08,51,3,265.3213689343357
152,0.9999998807907104,7.00711240142482e-08,52,3,155.76617612976534
153,1.0,5.1498485476031426e-08,53,3,46.21098332519502
154,1.0,2.024871833790701e-13,54,3,-63.3442094793753
155,1.0,3.280912252989765e-08,55,3,-172.89940228394562
156,1.0,1.6126284335671315e-11,11,4,-1865.3112340840066
157,1.0,1.2086186218507322e-11,12,4,-1630.536721450946
158,1.0,1.7782425532075763e-09,13,4,-1403.2056157242246
159,1.0,4.6005595166764834e-12,14,4,-1187.6001010441182
160,1.0,6.128703655683411e-10,15,4,-991.4000201734918
161,1.0,4.2758728009033645e-14,16,4,-827.5753972981839
162,1.0,6.139177165763454e-13,17,4,-678.1902211369464
163,1.0,1.1570344292041734e-12,18,4,-528.8050449757088
164,1.0,2.8896654513665965e-10,19,4,-379.4198688144713
165,0.9999990463256836,9.62174794949533e-07,20,4,-230.03469265323378
166,0.9999997615814208,1.9424609831730777e-07,21,4,-80.64951649199624
167,1.0,2.3751156597029416e-10,22,4,68.7356596692413
168,0.9999998807907104,1.1929633103591186e-07,23,4,184.7565287121787
169,0.9474807381629944,0.0525192022323608,24,4,251.36135622035187
170,0.9846752285957336,0.0153247937560081,25,4,317.9661837285251
171,0.9947423934936525,0.0052575389854609,26,4,384.57101123669827
172,0.9999885559082032,1.1493699275888504e-05,27,4,451.1758387448715
173,0.0876567810773849,0.912343204021454,28,4,517.7806662530447
174,0.0611461512744426,0.9388538002967834,29,4,584.3854937612178
175,0.9988155364990234,0.0011844343971461,30,4,650.9903212693911
176,0.9994761347770692,0.0005239337333478,31,4,701.1613850248382
177,0.9821439385414124,0.0178560875356197,32,4,745.1650282458938
178,0.999763548374176,0.0002364356623729,33,4,789.1686714669496
179,0.0010190906468778,0.9989809393882751,34,4,833.1723146880053
180,0.9998621940612792,0.0001377444423269,35,4,877.1759579090609
181,0.9999891519546508,1.0840951290447263e-05,36,4,921.1796011301167
182,0.2137241214513778,0.7862759232521057,37,4,965.1832443511723
183,0.9926730990409852,0.0073268562555313,38,4,1009.1868875722281
184,0.9955131411552428,0.004486808553338,39,4,1053.1905307932836
185,0.9987437129020692,0.0012563524069264,40,4,1086.0580355123334
186,0.9926854372024536,0.0073145576752722,41,4,1051.1575965322222
187,0.9894651174545288,0.0105349002406001,42,4,1016.257157552111
188,0.9997883439064026,0.0002117266412824,43,4,981.3567185719999
189,0.0030531745869666,0.9969468712806702,44,4,946.4562795918888
190,0.8139681816101074,0.1860318481922149,45,4,911.5558406117776
191,0.9995638728141784,0.0004361188039183,46,4,876.6554016316666
192,0.999977707862854,2.2291587811196223e-05,47,4,841.7549626515554
193,0.9999935626983644,6.428968845284544e-06,48,4,806.8545236714442
194,0.9999990463256836,9.06988134374842e-07,49,4,715.8051750773687
195,0.9999171495437622,8.280951442429796e-05,50,4,606.2499822727984
196,0.9999774694442748,2.256844163639471e-05,51,4,496.69478946822807
197,1.0,9.707717962825768e-10,52,4,387.13959666365776
198,1.0,2.6762798643886754e-09,53,4,277.5844038590874
199,1.0,6.347041225929216e-10,54,4,168.0292110545171
200,1.0,3.552803606865496e-10,55,4,58.47401824994678
201,1.0,8.506237492156288e-09,56,4,-51.081174554623544
202,1.0,2.361996431776703e-10,57,4,-160.63636735919386
203,1.0,4.520914458766567e-12,11,5,-1785.800100795159
204,1.0,6.437923382330431e-14,12,5,-1538.9431438490508
205,1.0,4.5058519415608345e-11,13,5,-1295.6396103855423
206,1.0,3.1512004811107275e-11,14,5,-1058.3430445748675
207,1.0,1.3292979564316632e-11,15,5,-832.2079067156236
208,1.0,5.034636041401086e-10,16,5,-629.3822368004995
209,1.0,2.1900299629340478e-10,17,5,-470.29585097922416
210,1.0,6.799604629348366e-11,18,5,-320.9106748179866
211,1.0,4.70465388868746e-10,19,5,-171.52549865674908
212,1.0,2.4060229364408773e-08,20,5,-22.14032249551154
213,0.9999997615814208,2.4754629635026504e-07,21,5,127.244853665726
214,0.9998098015785216,0.0001902207877719,22,5,276.63002982696355
215,0.9436007738113404,0.0563992410898208,23,5,426.0152059882011
216,0.9999063014984132,9.371756459586322e-05,24,5,498.54508738526187
217,0.9999673366546632,3.262159225414507e-05,25,5,565.149914893435
218,1.0,2.5236749578994025e-08,26,5,631.7547424016083
219,0.9999960660934448,3.971998467022786e-06,27,5,698.3595699097815
220,0.9999890327453612,1.100180270441342e-05,28,5,764.9643974179547
221,0.9992332458496094,0.0007668093312531,29,5,831.569224926128
222,0.9945407509803772,0.0054592047818005,30,5,898.1740524343011
223,0.9999980926513672,1.92192783288192e-06,31,5,953.3511536183996
224,0.0255639068782329,0.9744360446929932,32,5,997.3547968394553
225,0.9715116024017334,0.0284883789718151,33,5,1041.358440060511
226,0.0373075306415557,0.9626924991607666,34,5,1085.3620832815666
227,0.0841606855392456,0.9158393144607544,35,5,1129.3657265026225
228,0.999887466430664,0.0001124982154578,36,5,1173.369369723678
229,0.9996738433837892,0.0003261831589043,37,5,1217.3730129447338
230,0.9953001737594604,0.0046997591853141,38,5,1261.3766561657894
231,0.9999380111694336,6.197787297423929e-05,39,5,1305.380299386845
232,0.8157553672790527,0.1842447072267532,40,5,1339.667892101141
233,0.9973723888397216,0.0026275594718754,41,5,1304.7674531210298
234,0.997914969921112,0.0020849916618317,42,5,1269.8670141409186
235,0.0874913930892944,0.9125086665153505,43,5,1234.9665751608075
236,0.109256274998188,0.8907437920570374,44,5,1200.0661361806963
237,0.0013912739232182,0.9986087679862976,45,5,1165.1656972005853
238,0.9999866485595704,1.3295036296767648e-05,46,5,1130.2652582204742
239,0.9990279674530028,0.0009720121743157,47,5,1095.364819240363
240,0.9999837875366212,1.619108661543578e-05,48,5,1056.7337884158314
241,0.99993896484375,6.10156603215728e-05,49,5,947.1785956112611
242,0.9999101161956788,8.992177026811987e-05,50,5,837.6234028066908
243,0.985976219177246,0.014023789204657,51,5,728.0682100021205
244,0.9979494214057922,0.0020505443681031,52,5,618.5130171975501
245,0.9999997615814208,2.86342157096442e-07,53,5,508.95782439297983
246,1.0,4.399894137918636e-08,54,5,399.4026315884095
247,1.0,7.614623598328762e-09,55,5,289.8474387838392
248,1.0,1.4657651092875312e-08,56,5,180.29224597926884
249,1.0,3.1784606197016174e-11,57,5,70.73705317469853
250,1.0,4.7440107397989095e-11,58,5,-38.81813962987179
251,1.0,4.3887174450141226e-10,10,6,-1995.4092312104804
252,1.0,6.004829446182303e-12,11,6,-1740.646431645439
253,1.0,1.5101322969890418e-11,12,6,-1486.3088508112976
254,1.0,1.961776878098287e-12,13,6,-1232.6597259584657
255,1.0,4.257657272669366e-15,14,6,-980.2336456172069
256,1.0,7.31118082741844e-11,15,6,-730.2999383814845
257,1.0,8.417662122894853e-09,16,6,-486.7134680692532
258,1.0,1.2451459863171974e-09,17,6,-267.4210163767986
259,1.0,3.3418707801047276e-09,18,6,-113.01630466026437
260,0.9996488094329834,0.0003512235707603,19,6,36.368871500973164
261,0.9999319314956664,6.811715138610452e-05,20,6,185.7540476622107
262,0.9987205266952516,0.0012795390794053,21,6,335.1392238234482
263,0.9984753727912904,0.001524603459984,22,6,484.5243999846858
264,0.9993470311164856,0.000653009454254,23,6,633.9095761459233
265,0.9999953508377076,4.632803211279679e-06,24,6,745.7288185501719
266,0.9999985694885254,1.444033841835335e-06,25,6,812.333646058345
267,0.9980489015579224,0.0019510753918439,26,6,878.9384735665183
268,0.9999821186065674,1.7915152056957595e-05,27,6,945.5433010746915
